heure,pseudo,contexte,composant,evenement
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:12,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
